x, y, z
-1.946571, -1.631341, 0.06757045
-2.062344, -1.626936, 0.0610849
-2.470704, -1.471686, 0.1729924
-2.401792, -1.51491, -0.004809007
-2.32029, -1.482237, 0.2235014
-2.206668, -1.538424, 0.04241982
-2.375431, -1.445396, 0.2014624
-2.494677, -1.44216, 0.2235214
-2.160242, -1.512339, 0.2235157
-2.216886, -1.548455, -0.01193121
-2.480911, -1.37673, -0.188944
-2.493746, -1.394017, 0.07675588
-2.452268, -1.435895, -0.09954992
-2.603724, -1.327579, -0.1694271
-2.492956, -1.464611, -0.0814319
-2.525104, -1.401896, -0.2235163
-2.446124, -1.397802, -0.1549629
-2.279333, -1.531702, -0.1301979
-2.652323, -1.241724, -0.09074838
-2.418836, -1.461095, 0.1754288
-2.32073, -1.541757, 0.04918894
-2.612967, -1.319773, -0.2234653
-2.525517, -1.456477, -0.2235082
-2.555777, -1.373664, -0.004548594
-2.397279, -1.452883, 0.01702015
-2.312311, -1.541484, -0.0884157
-2.401685, -1.469776, -0.03369474
-2.48937, -1.373123, -0.1367549
-2.471857, -1.425251, -0.009457201
-2.373843, -1.457709, 0.1171855
-2.48879, -1.367286, 0.175353
-2.639212, -1.27977, -0.0379886
-2.141329, -1.577908, 0.1347599
-2.5655, -1.410191, 0.03259397
-2.654697, -1.238974, 0.01510422
-2.54393, -1.333218, -0.09127904
-2.590811, -1.367622, 0.07863651
-2.538373, -1.4226, 0.07639955
-2.572382, -1.403348, 0.1209994
-2.599286, -1.231687, 0.1356559
-2.54701, -1.449878, 0.1210052
-2.466202, -1.509963, -0.08742136
-2.438653, -1.434695, 0.04467276
-2.464332, -1.435722, 0.09100798
-2.449452, -1.472689, 0.007685989
-2.55997, -1.327076, 0.09318694
-2.522133, -1.35668, 0.1155387
-2.595557, -1.335121, 0.1316278
-2.236199, -1.505439, 0.08330476
-2.400616, -1.34785, 0.2235043
-2.640942, -1.277058, 0.06560221
-2.5766, -1.326132, -0.01532501
-2.228462, -1.500644, 0.007770196
-2.410473, -1.428947, 0.09190482
-2.226509, -1.509147, 0.161602
-2.54575, -1.454381, -0.03955945
-2.391612, -1.506717, 0.126718
-2.591867, -1.233089, 0.1881056
-2.445734, -1.420388, 0.1381929
-2.55165, -1.259559, 0.1652822
-2.339096, -1.409471, 0.1634806
-2.576885, -1.270264, 0.2227735
-2.459766, -1.421862, 0.1892496
-2.427543, -1.467918, 0.1234775
-2.429707, -1.382134, 0.1712149
-2.220026, -1.56381, -0.1381273
-2.51084, -1.425131, -0.1121297
-2.668981, -1.095657, -0.1208316
-2.572602, -1.289784, -0.08131827
-2.646977, -1.138572, -0.2235124
-2.69956, -1.132166, -0.2235073
-2.52264, -1.408389, -0.02701184
-2.589968, -1.373826, -0.1440011
-2.690092, -1.143584, -0.1286988
-2.655974, -1.228941, -0.1782365
-2.628461, -1.214264, -0.2235006
-2.725148, -0.9953488, -0.1813376
-2.762499, -0.9913594, -0.1439918
-2.505698, -1.465919, -0.006864861
-2.672712, -1.185818, -0.2170647
-2.62958, -1.267247, -0.2235095
-2.605743, -1.25092, -0.06722254
-2.596527, -1.368307, -0.09097464
-2.603185, -1.262307, 0.0314796
-2.53986, -1.370978, 0.06450647
-2.507799, -1.406397, 0.1269379
-2.663428, -1.22943, 0.07137908
-2.676969, -1.12813, -0.07973802
-2.530724, -1.337244, 0.02467901
-2.61639, -1.102086, -0.1213573
-2.622165, -1.243898, -0.1342257
-2.579398, -1.28132, 0.07484503
-2.673907, -1.12943, -0.1772202
-2.762506, -0.9913393, -0.09100321
-2.68665, -1.054143, -0.07718767
-2.632725, -1.119969, -0.05173442
-2.608292, -1.323378, -0.06116724
-2.740458, -1.039084, -0.09753613
-2.644263, -1.138769, 0.09484127
-2.701596, -1.133032, 0.1333542
-2.605811, -1.209507, 0.03483091
-2.51544, -1.320055, 0.1838204
-2.617502, -1.276045, 0.1131103
-2.603554, -1.178472, -0.02404895
-2.715491, -1.088964, 0.08417237
-2.686811, -1.183022, 0.1209893
-2.631688, -1.202164, -0.06218261
-2.66496, -1.111668, 0.04670826
-2.664051, -1.176977, 0.06393641
-2.61109, -1.233975, 0.08153653
-2.597423, -1.177787, 0.1393628
-2.681306, -1.060605, 0.05529894
-2.679792, -1.078005, -0.006773099
-2.65449, -1.124441, -0.003637314
-2.628868, -1.102264, 0.1887272
-2.577001, -1.132921, 0.1588169
-2.712061, -1.01139, 0.1582381
-2.555463, -1.157107, 0.2145465
-2.557314, -1.207501, 0.15713
-2.641889, -1.245688, 0.2060453
-2.699151, -1.015665, 0.2235024
-2.64672, -1.146576, 0.2235029
-2.60512, -1.070115, 0.22351
-2.629974, -1.108837, 0.1361649
-2.67404, -1.127924, 0.1783244
-2.63498, -1.193029, 0.1052282
-2.594077, -1.121945, 0.2235102
-2.699222, -1.139357, 0.2235174
-2.484526, -1.336682, 0.2235096
-2.607878, -1.161746, 0.190798
-2.734728, -0.9443361, -0.1706529
-2.762577, -0.8438542, -0.223533
-2.693398, -0.9998482, -0.2235127
-2.570073, -0.9682137, -0.2234434
-2.672937, -0.8713303, -0.2205742
-2.719504, -1.045965, -0.2235061
-2.626552, -0.8967973, -0.2235052
-2.716416, -0.8178964, -0.2234928
-2.719797, -0.9447292, -0.2235021
-2.664221, -1.062349, -0.2235039
-2.644125, -0.9805433, -0.1792527
-2.679002, -1.019913, -0.1727534
-2.668065, -0.9341098, -0.2191041
-2.600109, -1.006989, -0.1923586
-2.54175, -1.077594, -0.1704074
-2.62256, -0.9609119, -0.2235036
-2.631423, -1.095012, -0.1976925
-2.755501, -0.8971695, -0.1830013
-2.721747, -0.8917681, -0.2235018
-2.633113, -1.045857, -0.1780166
-2.642164, -1.05029, -0.1260045
-2.55367, -1.093243, -0.1211456
-2.60858, -1.010177, -0.1342268
-2.665208, -1.007258, -0.1054205
-2.589354, -1.09605, -0.07619502
-2.594269, -1.078857, -0.1635344
-2.780628, -0.9416212, 0.01499951
-2.57225, -1.085443, 0.003122956
-2.694807, -1.049973, -0.1320456
-2.555764, -1.137977, -0.07814302
-2.649866, -1.04606, -0.03663158
-2.638006, -1.075068, -0.079358
-2.579072, -1.141644, -0.1255994
-2.714416, -1.001389, -0.1241517
-2.780597, -0.9415268, -0.09100087
-2.676068, -1.076596, -0.1738533
-2.757435, -0.9957708, -0.03799957
-2.55475, -1.149674, -0.02646676
-2.620476, -1.025209, -0.0832238
-2.689195, -0.966566, -0.1551331
-2.697976, -1.023531, 0.0964818
-2.665492, -0.9921633, 0.0006617606
-2.650176, -1.04049, 0.0160635
-2.561086, -1.131786, 0.05110268
-2.630994, -1.164994, 0.02104248
-2.475348, -1.149692, 0.0375029
-2.550292, -1.105031, 0.09999824
-2.572414, -1.171837, 0.01830693
-2.624238, -1.081007, -0.006130993
-2.647747, -1.040354, 0.09095442
-2.654607, -0.9964596, -0.0546481
-2.709848, -0.9645573, 0.1336302
-2.680218, -1.00801, 0.049024
-2.664568, -1.089989, 0.09878372
-2.607833, -1.075883, 0.101074
-2.629753, -1.072594, 0.05294569
-2.524617, -1.168873, 0.04098746
-2.577628, -1.081657, 0.05569938
-2.613427, -1.123734, 0.04928085
-2.519463, -1.220657, 0.03102113
-2.69683, -0.9264055, 0.2235025
-2.591597, -0.9714817, 0.223517
-2.735187, -0.9311782, 0.1012603
-2.608342, -1.056195, 0.1724441
-2.547187, -1.157731, 0.09516433
-2.72358, -0.9631928, 0.1963071
-2.652593, -1.06123, 0.1416457
-2.676795, -0.8449504, 0.2235182
-2.643926, -0.9232887, 0.2235092
-2.576101, -0.9996902, 0.1735892
-2.534904, -1.11571, 0.1860064
-2.726499, -0.8824922, 0.2231435
-2.665373, -1.003452, 0.134506
-2.64076, -1.029147, 0.2235195
-2.521819, -1.081554, 0.1476595
-2.778065, -0.8947226, 0.2235083
-2.666931, -1.09001, 0.2235036
-2.644371, -0.9762753, 0.2235141
-2.675314, -1.045712, 0.1869274
-2.767737, -0.8427453, 0.2235038
-2.613912, -0.7934847, -0.2235147
-2.639436, -0.8581574, -0.180847
-2.655242, -0.7587094, -0.2235032
-2.727414, -0.7163858, -0.2235032
-2.673028, -0.6930139, -0.2235221
-2.65203, -0.9576231, -0.1184395
-2.740629, -0.7367969, -0.1764153
-2.758392, -0.6734233, -0.2216997
-2.653723, -0.9088303, -0.1747895
-2.70382, -0.8917183, -0.1727184
-2.687989, -0.8370423, -0.1830691
-2.66391, -0.8109894, -0.2235211
-2.691551, -0.7786012, -0.1700444
-2.707785, -0.7656112, -0.2229827
-2.686632, -0.8589976, -0.1347564
-2.667048, -0.9359761, -0.07080548
-2.718809, -0.9199487, -0.02746125
-2.559578, -1.005278, -0.114707
-2.614964, -0.8718989, -0.1358985
-2.703226, -0.9530574, -0.1055539
-2.599348, -0.9776362, -0.09318645
-2.615754, -0.9194647, -0.1126004
-2.680687, -0.9113623, -0.1292408
-2.739513, -0.8471613, -0.1759629
-2.716518, -0.865396, -0.05086395
-2.617846, -0.9197544, -0.05967277
-2.593434, -1.056256, -0.04143852
-2.642797, -0.9529625, -0.02680418
-2.593226, -1.032192, 0.07488573
-2.633892, -0.9893197, 0.09431192
-2.59767, -1.043264, 0.02268222
